,name,layer_affected,kernel_index,layer_affected_index,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_accuracy,tflite_accuracy,q_aware_acc_degradation,tflite_acc_degradation,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
32,model_1_31,conv2d_1/kernel,1.0,4.0,"(4, 3, 10, 19)",-0.47254568338394165,0.47254568338394165,0.03537730127573013,10.0,6.0,74.0,0.2753415792945802,0.9121000170707703,0.9124,0.0006000399589538574,0.0007000000000000339,-0.301430344581604,-1.0213232040405273,-82.0,-274.0,0.7198928594589233,192.0
33,model_1_32,conv2d_1/kernel,1.0,4.0,"(4, 3, 3, 3)",-0.090477354824543,0.090477354824543,-0.05732143670320511,-80.0,5.0,-112.0,-0.07979105307361273,0.9114999771118164,0.9117,0.0,0.0,0.15433380007743835,0.2217426598072052,215.0,311.0,0.06740885972976685,96.0
34,model_1_33,conv2d_1/kernel,1.0,4.0,"(2, 2, 25, 31)",-0.5475643277168274,0.5475643277168274,0.03270273655653,8.0,5.0,40.0,0.1724612055801031,0.9118000268936157,0.9118,0.0003000497817993164,0.00010000000000010001,-0.181635320186615,-0.7406692504882812,-44.0,-172.0,0.5590339303016663,128.0
35,model_1_34,conv2d_1/kernel,1.0,4.0,"(2, 4, 6, 47)",-0.5217837691307068,0.5217837691307068,0.05390096828341484,13.0,5.0,45.0,0.1848840126841087,0.9118000268936157,0.9119,0.0003000497817993164,0.000200000000000089,-0.18914270401000977,-0.5820918083190918,-46.0,-142.0,0.39294910430908203,96.0
36,model_1_35,conv2d_1/kernel,1.0,4.0,"(2, 1, 8, 33)",-0.44516822695732117,0.44516822695732117,-0.07126636058092117,-20.0,5.0,-52.0,-0.1822736047384307,0.911899983882904,0.9121,0.0004000067710876465,0.00040000000000006697,0.3820039629936218,0.8260329961776733,109.0,237.0,0.4440290331840515,128.0
37,model_1_36,conv2d_1/kernel,1.0,4.0,"(1, 0, 27, 29)",-0.47020798921585083,0.47020798921585083,-0.036394763737916946,-10.0,6.0,-74.0,-0.27397945828325165,0.9120000004768372,0.912,0.000500023365020752,0.000300000000000078,0.1933555006980896,0.9061095714569092,52.0,244.0,0.7127540707588196,192.0
38,model_1_37,conv2d_1/kernel,1.0,4.0,"(2, 0, 11, 18)",-0.6103699803352356,0.6103699803352356,0.028171885758638382,6.0,4.0,22.0,0.10573338242027704,0.9115999937057495,0.912,0.00010001659393310547,0.000300000000000078,-0.05639974772930145,-0.28908419609069824,-13.0,-61.0,0.2326844483613968,48.0
39,model_1_38,conv2d_1/kernel,1.0,4.0,"(3, 0, 15, 4)",-0.5875323414802551,0.5875323414802551,-0.057535603642463684,-12.0,6.0,-76.0,-0.3515941571062944,0.9122999906539917,0.9124,0.000800013542175293,0.0007000000000000339,-0.07105416059494019,0.8111214637756348,-16.0,176.0,0.882175624370575,192.0
40,model_1_39,conv2d_1/kernel,1.0,4.0,"(2, 3, 22, 37)",-0.42749759554862976,0.42749759554862976,-0.22706367075443268,-67.0,7.0,61.0,0.20533349077532612,0.9115999937057495,0.9115,0.00010001659393310547,-0.00019999999999997797,0.6644887924194336,-1.065099835395813,196.0,-316.0,1.7295886278152466,512.0
41,model_1_40,conv2d_1/kernel,1.0,4.0,"(2, 1, 28, 40)",-0.5135955214500427,0.5135955214500427,0.0923195481300354,23.0,7.0,-105.0,-0.42462621852168886,0.9110999703407288,0.9116,-0.0004000067710876465,-9.999999999998899e-05,-0.48435384035110474,1.583429217338562,-121.0,391.0,2.0677831172943115,512.0
