;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
1725;5_20230519 08:48:40;quant_conv2d;1;2;8;15;0.9120000004768372;0.0004000067710876465;0.28959891200065613
1726;5_20230519 08:48:43;quant_conv2d;1;2;9;15;0.9111999869346619;-0.0004000067710876465;0.29022783041000366
1727;5_20230519 08:48:47;quant_conv2d;1;2;10;15;0.9114999771118164;-0.00010001659393310547;0.2898890972137451
1728;5_20230519 08:48:51;quant_conv2d;1;2;11;15;0.9110000133514404;-0.000599980354309082;0.2912481725215912
1729;5_20230519 08:48:55;quant_conv2d;1;2;12;15;0.9108999967575073;-0.0006999969482421875;0.28970059752464294
1730;5_20230519 08:48:58;quant_conv2d;1;2;13;15;0.9111999869346619;-0.0004000067710876465;0.2907200753688812
1731;5_20230519 08:49:02;quant_conv2d;1;2;14;15;0.911300003528595;-0.000299990177154541;0.2910853624343872
1732;5_20230519 08:49:08;quant_conv2d;1;2;15;15;0.9117000102996826;0.00010001659393310547;0.29003673791885376
1733;5_20230519 08:49:12;quant_conv2d;1;2;16;15;0.9100000262260437;-0.0015999674797058105;0.2920394837856293
1734;5_20230519 08:49:16;quant_conv2d;1;2;17;15;0.9111999869346619;-0.0004000067710876465;0.2928081154823303
1735;5_20230519 08:49:20;quant_conv2d;1;2;18;15;0.9101999998092651;-0.001399993896484375;0.29133814573287964
1736;5_20230519 08:49:24;quant_conv2d;1;2;19;15;0.9115999937057495;0.0;0.29186180233955383
1737;5_20230519 08:49:29;quant_conv2d;1;2;20;15;0.9108999967575073;-0.0006999969482421875;0.29243960976600647
1738;5_20230519 08:49:31;quant_conv2d;1;2;1;23;0.9088000059127808;-0.00279998779296875;0.3011632561683655
1739;5_20230519 08:49:34;quant_conv2d;1;2;2;23;0.9014999866485596;-0.010100007057189941;0.31919583678245544
1740;5_20230519 08:49:38;quant_conv2d;1;2;3;23;0.9020000100135803;-0.00959998369216919;0.32065871357917786
1741;5_20230519 08:49:41;quant_conv2d;1;2;4;23;0.8955000042915344;-0.016099989414215088;0.3426257371902466
1742;5_20230519 08:49:44;quant_conv2d;1;2;5;23;0.8919000029563904;-0.01969999074935913;0.35974669456481934
1743;5_20230519 08:49:47;quant_conv2d;1;2;6;23;0.8942000269889832;-0.017399966716766357;0.3646884858608246
1744;5_20230519 08:49:50;quant_conv2d;1;2;7;23;0.8901000022888184;-0.021499991416931152;0.37255436182022095
1745;5_20230519 08:49:54;quant_conv2d;1;2;8;23;0.8834999799728394;-0.028100013732910156;0.38935786485671997
1746;5_20230519 08:49:57;quant_conv2d;1;2;9;23;0.8828999996185303;-0.02869999408721924;0.39580705761909485
1747;5_20230519 08:50:00;quant_conv2d;1;2;10;23;0.8813999891281128;-0.03020000457763672;0.4121432602405548
1748;5_20230519 08:50:05;quant_conv2d;1;2;11;23;0.8752999901771545;-0.03630000352859497;0.43829581141471863
