;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
103;0_2023-05-23 09:58:45;quant_conv2d;1;2;8;12;0.912;0.00040000000000006697;0.28922033
104;0_2023-05-23 09:58:49;quant_conv2d;1;2;1;13;0.912;0.00040000000000006697;0.2891026
105;0_2023-05-23 09:58:53;quant_conv2d;1;2;2;13;0.9122;0.0006000000000000449;0.2890339
106;0_2023-05-23 09:58:57;quant_conv2d;1;2;3;13;0.912;0.00040000000000006697;0.28910482
107;0_2023-05-23 09:59:01;quant_conv2d;1;2;4;13;0.912;0.00040000000000006697;0.28938827
108;0_2023-05-23 09:59:05;quant_conv2d;1;2;5;13;0.9117;9.999999999998899e-05;0.28895333
109;0_2023-05-23 09:59:09;quant_conv2d;1;2;6;13;0.912;0.00040000000000006697;0.28897828
110;0_2023-05-23 09:59:13;quant_conv2d;1;2;7;13;0.9115;-9.999999999998899e-05;0.28894693
111;0_2023-05-23 09:59:17;quant_conv2d;1;2;8;13;0.911;-0.0005999999999999339;0.28915507
112;0_2023-05-23 09:59:20;quant_conv2d;1;2;1;14;0.9119;0.000300000000000078;0.28944588
113;0_2023-05-23 09:59:24;quant_conv2d;1;2;2;14;0.9126;0.0010000000000000009;0.28954235
114;0_2023-05-23 09:59:28;quant_conv2d;1;2;3;14;0.9113;-0.00029999999999996696;0.28928193
115;0_2023-05-23 09:59:32;quant_conv2d;1;2;4;14;0.9122;0.0006000000000000449;0.288984
116;0_2023-05-23 09:59:35;quant_conv2d;1;2;5;14;0.9118;0.000200000000000089;0.28941777
117;0_2023-05-23 09:59:39;quant_conv2d;1;2;6;14;0.9113;-0.00029999999999996696;0.28968596
118;0_2023-05-23 09:59:43;quant_conv2d;1;2;7;14;0.9119;0.000300000000000078;0.28956208
119;0_2023-05-23 09:59:48;quant_conv2d;1;2;8;14;0.9114;-0.00019999999999997797;0.29014176
120;0_2023-05-23 09:59:51;quant_conv2d;1;2;1;15;0.9117;9.999999999998899e-05;0.28935596
121;0_2023-05-23 09:59:55;quant_conv2d;1;2;2;15;0.9112;-0.00039999999999995595;0.28938615
122;0_2023-05-23 09:59:59;quant_conv2d;1;2;3;15;0.9121;0.000500000000000056;0.28854254
123;0_2023-05-23 10:00:02;quant_conv2d;1;2;4;15;0.912;0.00040000000000006697;0.28951928
124;0_2023-05-23 10:00:06;quant_conv2d;1;2;5;15;0.9127;0.0010999999999999899;0.28898627
125;0_2023-05-23 10:00:10;quant_conv2d;1;2;6;15;0.9111;-0.0004999999999999449;0.28855336
126;0_2023-05-23 10:00:15;quant_conv2d;1;2;7;15;0.9114;-0.00019999999999997797;0.28994069
127;0_2023-05-23 10:00:19;quant_conv2d;1;2;8;15;0.9114;-0.00019999999999997797;0.28910694
128;0_2023-05-23 10:00:22;quant_conv2d;1;2;1;16;0.9121;0.000500000000000056;0.29027992
129;0_2023-05-23 10:00:26;quant_conv2d;1;2;2;16;0.911;-0.0005999999999999339;0.29051456
130;0_2023-05-23 10:00:30;quant_conv2d;1;2;3;16;0.9116;0.0;0.29343846
131;0_2023-05-23 10:00:34;quant_conv2d;1;2;4;16;0.9111;-0.0004999999999999449;0.29194716
132;0_2023-05-23 10:00:38;quant_conv2d;1;2;5;16;0.9106;-0.0010000000000000009;0.29299542
133;0_2023-05-23 10:00:42;quant_conv2d;1;2;6;16;0.9113;-0.00029999999999996696;0.29069424
134;0_2023-05-23 10:00:47;quant_conv2d;1;2;7;16;0.9101;-0.0014999999999999458;0.29294667
135;0_2023-05-23 10:00:51;quant_conv2d;1;2;8;16;0.9104;-0.0011999999999999789;0.29497704
136;0_2023-05-23 10:00:54;quant_conv2d;1;2;1;17;0.9095;-0.0020999999999999908;0.29261675
137;0_2023-05-23 10:00:58;quant_conv2d;1;2;2;17;0.9104;-0.0011999999999999789;0.2952467
138;0_2023-05-23 10:01:02;quant_conv2d;1;2;3;17;0.9089;-0.0026999999999999247;0.29925394
139;0_2023-05-23 10:01:06;quant_conv2d;1;2;4;17;0.908;-0.0035999999999999366;0.29862887
