,reference,layer_name,n_bits_flipped,bit_disrupted,accuracy,accuracy_degradation,loss
190,2023/10/25 09:50:33,conv2d/,3,7,0.9102,0.0038000000000000256,0.3935333
191,2023/10/25 09:50:34,conv2d/,4,7,0.9065,0.007500000000000062,0.4328787
192,2023/10/25 09:50:36,conv2d/,1,0,0.9143,-0.00029999999999996696,0.39038053
193,2023/10/25 09:50:38,conv2d/,2,0,0.914,0.0,0.38769773
194,2023/10/25 09:50:39,conv2d/,3,0,0.9139,9.999999999998899e-05,0.39084557
195,2023/10/25 09:50:41,conv2d/,4,0,0.914,0.0,0.38935056
196,2023/10/25 09:50:43,conv2d/,1,1,0.9136,0.00040000000000006697,0.388248
197,2023/10/25 09:50:44,conv2d/,2,1,0.9141,-9.999999999998899e-05,0.38945556
198,2023/10/25 09:50:46,conv2d/,3,1,0.9148,-0.0007999999999999119,0.38909614
199,2023/10/25 09:50:48,conv2d/,4,1,0.9138,0.000200000000000089,0.3896421
200,2023/10/25 09:50:49,conv2d/,1,2,0.9137,0.000300000000000078,0.39091203
201,2023/10/25 09:50:51,conv2d/,2,2,0.915,-0.0010000000000000009,0.3862858
202,2023/10/25 09:50:53,conv2d/,3,2,0.914,0.0,0.38754052
203,2023/10/25 09:50:54,conv2d/,4,2,0.9144,-0.00039999999999995595,0.39386633
204,2023/10/25 09:50:56,conv2d/,1,3,0.9129,0.0010999999999999899,0.39102137
205,2023/10/25 09:50:58,conv2d/,2,3,0.9143,-0.00029999999999996696,0.38960975
206,2023/10/25 09:50:59,conv2d/,3,3,0.9139,9.999999999998899e-05,0.39022604
207,2023/10/25 09:51:01,conv2d/,4,3,0.9137,0.000300000000000078,0.39126417
208,2023/10/25 09:51:03,conv2d/,1,4,0.9141,-9.999999999998899e-05,0.3859498
209,2023/10/25 09:51:04,conv2d/,2,4,0.9129,0.0010999999999999899,0.39369634
210,2023/10/25 09:51:06,conv2d/,3,4,0.913,0.0010000000000000009,0.3887748
211,2023/10/25 09:51:08,conv2d/,4,4,0.9142,-0.00019999999999997797,0.3870087
212,2023/10/25 09:51:09,conv2d/,1,5,0.9132,0.0008000000000000229,0.38808197
213,2023/10/25 09:51:11,conv2d/,2,5,0.9134,0.0006000000000000449,0.3915906
214,2023/10/25 09:51:13,conv2d/,3,5,0.9138,0.000200000000000089,0.3817983
215,2023/10/25 09:51:14,conv2d/,4,5,0.9121,0.0019000000000000128,0.3965938
216,2023/10/25 09:51:16,conv2d/,1,6,0.9135,0.000500000000000056,0.3873139
217,2023/10/25 09:51:17,conv2d/,2,6,0.9126,0.0014000000000000679,0.39086947
218,2023/10/25 09:51:19,conv2d/,3,6,0.9122,0.0018000000000000238,0.39045736
219,2023/10/25 09:51:21,conv2d/,4,6,0.9128,0.0012000000000000899,0.39280048
220,2023/10/25 09:51:22,conv2d/,1,7,0.9135,0.000500000000000056,0.39090028
221,2023/10/25 09:51:24,conv2d/,2,7,0.9117,0.0023000000000000798,0.39313772
222,2023/10/25 09:51:26,conv2d/,3,7,0.9109,0.0030999999999999917,0.38618267
223,2023/10/25 09:51:27,conv2d/,4,7,0.9094,0.0046000000000000485,0.38461295
224,2023/10/25 09:51:29,conv2d/,1,0,0.914,0.0,0.38921323
225,2023/10/25 09:51:31,conv2d/,2,0,0.9142,-0.00019999999999997797,0.3883317
226,2023/10/25 09:51:32,conv2d/,3,0,0.9137,0.000300000000000078,0.38960457
227,2023/10/25 09:51:34,conv2d/,4,0,0.9141,-9.999999999998899e-05,0.38979778
228,2023/10/25 09:51:36,conv2d/,1,1,0.9141,-9.999999999998899e-05,0.38961837
229,2023/10/25 09:51:37,conv2d/,2,1,0.9143,-0.00029999999999996696,0.3916251
230,2023/10/25 09:51:39,conv2d/,3,1,0.9137,0.000300000000000078,0.38945553
231,2023/10/25 09:51:41,conv2d/,4,1,0.9139,9.999999999998899e-05,0.38896728
232,2023/10/25 09:51:42,conv2d/,1,2,0.9141,-9.999999999998899e-05,0.3883812
233,2023/10/25 09:51:44,conv2d/,2,2,0.914,0.0,0.3873743
234,2023/10/25 09:51:46,conv2d/,3,2,0.9136,0.00040000000000006697,0.3871125
235,2023/10/25 09:51:47,conv2d/,4,2,0.9142,-0.00019999999999997797,0.3901987
236,2023/10/25 09:51:49,conv2d/,1,3,0.914,0.0,0.39112154
237,2023/10/25 09:51:51,conv2d/,2,3,0.9139,9.999999999998899e-05,0.3875733
238,2023/10/25 09:51:52,conv2d/,3,3,0.9141,-9.999999999998899e-05,0.390153
239,2023/10/25 09:51:54,conv2d/,4,3,0.9136,0.00040000000000006697,0.38829142
240,2023/10/25 09:51:56,conv2d/,1,4,0.9145,-0.0004999999999999449,0.38954535
241,2023/10/25 09:51:57,conv2d/,2,4,0.914,0.0,0.38513857
242,2023/10/25 09:51:59,conv2d/,3,4,0.9132,0.0008000000000000229,0.39157686
243,2023/10/25 09:52:01,conv2d/,4,4,0.9136,0.00040000000000006697,0.3917681
244,2023/10/25 09:52:02,conv2d/,1,5,0.9149,-0.0009000000000000119,0.3874008
245,2023/10/25 09:52:04,conv2d/,2,5,0.9133,0.0007000000000000339,0.3868497
246,2023/10/25 09:52:06,conv2d/,3,5,0.9137,0.000300000000000078,0.39529985
247,2023/10/25 09:52:07,conv2d/,4,5,0.9142,-0.00019999999999997797,0.37987214
248,2023/10/25 09:52:09,conv2d/,1,6,0.9143,-0.00029999999999996696,0.38370362
249,2023/10/25 09:52:11,conv2d/,2,6,0.9133,0.0007000000000000339,0.38323447
250,2023/10/25 09:52:12,conv2d/,3,6,0.9115,0.0025000000000000577,0.41025147
251,2023/10/25 09:52:14,conv2d/,4,6,0.9125,0.0015000000000000568,0.39439625
252,2023/10/25 09:52:16,conv2d/,1,7,0.9141,-9.999999999998899e-05,0.3923486
253,2023/10/25 09:52:17,conv2d/,2,7,0.911,0.0030000000000000027,0.4021572
254,2023/10/25 09:52:19,conv2d/,3,7,0.9044,0.009600000000000053,0.40173903
255,2023/10/25 09:52:21,conv2d/,4,7,0.9108,0.0031999999999999806,0.3981148
256,2023/10/25 09:52:22,conv2d/,1,0,0.9138,0.000200000000000089,0.38854587
257,2023/10/25 09:52:24,conv2d/,2,0,0.9142,-0.00019999999999997797,0.39045006
258,2023/10/25 09:52:26,conv2d/,3,0,0.9144,-0.00039999999999995595,0.38868204
259,2023/10/25 09:52:27,conv2d/,4,0,0.9145,-0.0004999999999999449,0.39038947
260,2023/10/25 09:52:29,conv2d/,1,1,0.9134,0.0006000000000000449,0.3873776
261,2023/10/25 09:52:31,conv2d/,2,1,0.9144,-0.00039999999999995595,0.3918661
262,2023/10/25 09:52:32,conv2d/,3,1,0.9144,-0.00039999999999995595,0.38939855
263,2023/10/25 09:52:34,conv2d/,4,1,0.914,0.0,0.3899109
264,2023/10/25 09:52:36,conv2d/,1,2,0.9142,-0.00019999999999997797,0.39370227
265,2023/10/25 09:52:37,conv2d/,2,2,0.9141,-9.999999999998899e-05,0.38842097
266,2023/10/25 09:52:39,conv2d/,3,2,0.9142,-0.00019999999999997797,0.39115456
267,2023/10/25 09:52:40,conv2d/,4,2,0.9143,-0.00029999999999996696,0.3912205
268,2023/10/25 09:52:42,conv2d/,1,3,0.9141,-9.999999999998899e-05,0.39040986
269,2023/10/25 09:52:44,conv2d/,2,3,0.9135,0.000500000000000056,0.3872098
270,2023/10/25 09:52:45,conv2d/,3,3,0.914,0.0,0.39392224
271,2023/10/25 09:52:47,conv2d/,4,3,0.9145,-0.0004999999999999449,0.38915956
