,reference,layer_key,kernel_index,layer_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
24487,2023/05/21 23:20:12,quant_conv2d,1,2,8,20,0.8830999732017517,-0.028500020503997803,0.3972078561782837
24488,2023/05/21 23:20:15,quant_conv2d,1,2,1,21,0.9089000225067139,-0.0026999711990356445,0.2999579608440399
24489,2023/05/21 23:20:18,quant_conv2d,1,2,2,21,0.9032999873161316,-0.00830000638961792,0.3156302571296692
24490,2023/05/21 23:20:22,quant_conv2d,1,2,3,21,0.901199996471405,-0.010399997234344482,0.3238295018672943
24491,2023/05/21 23:20:26,quant_conv2d,1,2,4,21,0.8974000215530396,-0.014199972152709961,0.334882915019989
24492,2023/05/21 23:20:30,quant_conv2d,1,2,5,21,0.8942999839782715,-0.017300009727478027,0.3477822542190552
24493,2023/05/21 23:20:33,quant_conv2d,1,2,6,21,0.8932999968528748,-0.018299996852874756,0.3600306510925293
24494,2023/05/21 23:20:37,quant_conv2d,1,2,7,21,0.8867999911308289,-0.024800002574920654,0.37607109546661377
24495,2023/05/21 23:20:40,quant_conv2d,1,2,8,21,0.8845999836921692,-0.027000010013580322,0.3949524164199829
24496,2023/05/21 23:20:43,quant_conv2d,1,2,1,22,0.9093999862670898,-0.002200007438659668,0.30187779664993286
24497,2023/05/21 23:20:47,quant_conv2d,1,2,2,22,0.9039999842643738,-0.007600009441375732,0.3187009394168854
24498,2023/05/21 23:20:50,quant_conv2d,1,2,3,22,0.9007999897003174,-0.010800004005432129,0.3283292353153229
24499,2023/05/21 23:20:53,quant_conv2d,1,2,4,22,0.8996999859809875,-0.011900007724761963,0.3368699252605438
24500,2023/05/21 23:20:57,quant_conv2d,1,2,5,22,0.8978000283241272,-0.013799965381622314,0.35431450605392456
24501,2023/05/21 23:21:00,quant_conv2d,1,2,6,22,0.8896999955177307,-0.0218999981880188,0.3702489137649536
24502,2023/05/21 23:21:04,quant_conv2d,1,2,7,22,0.8881999850273132,-0.02340000867843628,0.37698444724082947
