,reference,layer_name,layer_counter,n_bits_flipped,bit_disrupted,accuracy,accuracy_degradation,loss
237,2024/01/27 17:53:37,conv2d_1/,1,1,7,0.9142,0.00019999999999997797,0.3892803
238,2024/01/27 17:53:39,conv2d_1/,1,2,7,0.9137,-0.000300000000000078,0.38971362
239,2024/01/27 17:53:41,conv2d_1/,1,4,7,0.9135,-0.000500000000000056,0.38943282
240,2024/01/27 17:53:43,conv2d_2/,2,1,0,0.914,0.0,0.3896092
241,2024/01/27 17:53:45,conv2d_2/,2,2,0,0.914,0.0,0.38962266
242,2024/01/27 17:53:47,conv2d_2/,2,4,0,0.914,0.0,0.38963184
243,2024/01/27 17:53:49,conv2d_2/,2,1,1,0.914,0.0,0.3896067
244,2024/01/27 17:53:51,conv2d_2/,2,2,1,0.914,0.0,0.38960338
245,2024/01/27 17:53:53,conv2d_2/,2,4,1,0.914,0.0,0.389629
246,2024/01/27 17:53:55,conv2d_2/,2,1,2,0.914,0.0,0.38966262
247,2024/01/27 17:53:56,conv2d_2/,2,2,2,0.914,0.0,0.38960424
248,2024/01/27 17:53:58,conv2d_2/,2,4,2,0.9141,9.999999999998899e-05,0.3896163
249,2024/01/27 17:54:00,conv2d_2/,2,1,3,0.9141,9.999999999998899e-05,0.3896643
250,2024/01/27 17:54:02,conv2d_2/,2,2,3,0.9138,-0.000200000000000089,0.38969335
251,2024/01/27 17:54:03,conv2d_2/,2,4,3,0.9138,-0.000200000000000089,0.39076364
252,2024/01/27 17:54:05,conv2d_2/,2,1,4,0.914,0.0,0.390638
253,2024/01/27 17:54:07,conv2d_2/,2,2,4,0.9141,9.999999999998899e-05,0.3895565
254,2024/01/27 17:54:09,conv2d_2/,2,4,4,0.9141,9.999999999998899e-05,0.39063677
255,2024/01/27 17:54:11,conv2d_2/,2,1,5,0.914,0.0,0.38962257
256,2024/01/27 17:54:13,conv2d_2/,2,2,5,0.9143,0.00029999999999996696,0.39103952
257,2024/01/27 17:54:15,conv2d_2/,2,4,5,0.9139,-9.999999999998899e-05,0.38987085
258,2024/01/27 17:54:17,conv2d_2/,2,1,6,0.9142,0.00019999999999997797,0.38918778
259,2024/01/27 17:54:18,conv2d_2/,2,2,6,0.9137,-0.000300000000000078,0.38953036
260,2024/01/27 17:54:20,conv2d_2/,2,4,6,0.9139,-9.999999999998899e-05,0.3898952
261,2024/01/27 17:54:22,conv2d_2/,2,1,7,0.9135,-0.000500000000000056,0.39081293
262,2024/01/27 17:54:24,conv2d_2/,2,2,7,0.9134,-0.0006000000000000449,0.3900212
263,2024/01/27 17:54:26,conv2d_2/,2,4,7,0.9138,-0.000200000000000089,0.38796365
264,2024/01/27 17:54:28,conv2d_2/,2,1,0,0.914,0.0,0.38962257
265,2024/01/27 17:54:29,conv2d_2/,2,2,0,0.914,0.0,0.38967752
266,2024/01/27 17:54:31,conv2d_2/,2,4,0,0.914,0.0,0.3895916
267,2024/01/27 17:54:33,conv2d_2/,2,1,1,0.914,0.0,0.39065316
268,2024/01/27 17:54:35,conv2d_2/,2,2,1,0.914,0.0,0.3896982
269,2024/01/27 17:54:37,conv2d_2/,2,4,1,0.914,0.0,0.38961148
270,2024/01/27 17:54:38,conv2d_2/,2,1,2,0.914,0.0,0.38958946
271,2024/01/27 17:54:40,conv2d_2/,2,2,2,0.9138,-0.000200000000000089,0.38956532
272,2024/01/27 17:54:42,conv2d_2/,2,4,2,0.914,0.0,0.38963026
273,2024/01/27 17:54:44,conv2d_2/,2,1,3,0.914,0.0,0.38963053
274,2024/01/27 17:54:46,conv2d_2/,2,2,3,0.9141,9.999999999998899e-05,0.38977376
275,2024/01/27 17:54:48,conv2d_2/,2,4,3,0.914,0.0,0.39075226
276,2024/01/27 17:54:49,conv2d_2/,2,1,4,0.9139,-9.999999999998899e-05,0.3896397
277,2024/01/27 17:54:51,conv2d_2/,2,2,4,0.9138,-0.000200000000000089,0.3896194
278,2024/01/27 17:54:53,conv2d_2/,2,4,4,0.9139,-9.999999999998899e-05,0.38967672
279,2024/01/27 17:54:55,conv2d_2/,2,1,5,0.9139,-9.999999999998899e-05,0.38972718
280,2024/01/27 17:54:57,conv2d_2/,2,2,5,0.9145,0.0004999999999999449,0.39093134
281,2024/01/27 17:54:58,conv2d_2/,2,4,5,0.9141,9.999999999998899e-05,0.38942024
282,2024/01/27 17:55:00,conv2d_2/,2,1,6,0.914,0.0,0.38962257
283,2024/01/27 17:55:02,conv2d_2/,2,2,6,0.9144,0.00039999999999995595,0.38930458
284,2024/01/27 17:55:04,conv2d_2/,2,4,6,0.914,0.0,0.38996136
285,2024/01/27 17:55:05,conv2d_2/,2,1,7,0.9135,-0.000500000000000056,0.38761517
286,2024/01/27 17:55:07,conv2d_2/,2,2,7,0.9138,-0.000200000000000089,0.38948315
287,2024/01/27 17:55:09,conv2d_2/,2,4,7,0.9143,0.00029999999999996696,0.38994187
